P1_H7;MB0423A2;SPY222538_07;Magdalena;teleo
P1_H8;MB0423A2;SPY222538_08;Magdalena;teleo
P1_H9;MB0423A2;SPY222538_09;Magdalena;teleo
P1_H10;MB0423A2;SPY222538_10;Magdalena;teleo
P1_H11;MB0423A2;SPY222538_11;Magdalena;teleo
P1_H12;MB0423A2;SPY222538_12;Magdalena;teleo
P2_A1;MB0423A2;OTHER01_01;Other;teleo
P2_A2;MB0423A2;OTHER01_02;Other;teleo
P2_A3;MB0423A2;OTHER01_03;Other;teleo
P2_A4;MB0423A2;OTHER01_04;Other;teleo
P2_A5;MB0423A2;OTHER01_05;Other;teleo
P2_A6;MB0423A2;OTHER01_06;Other;teleo
P2_A7;MB0423A2;OTHER01_07;Other;teleo
P2_A8;MB0423A2;OTHER01_08;Other;teleo
P2_A9;MB0423A2;OTHER01_09;Other;teleo
P2_A10;MB0423A2;OTHER01_10;Other;teleo
P2_A11;MB0423A2;OTHER01_11;Other;teleo
P2_A12;MB0423A2;OTHER01_12;Other;teleo
P2_B1;MB0423A2;OTHER02_01;Other;teleo
P2_B2;MB0423A2;OTHER02_02;Other;teleo
P2_B3;MB0423A2;OTHER02_03;Other;teleo
P2_B4;MB0423A2;OTHER02_04;Other;teleo
P2_B5;MB0423A2;OTHER02_05;Other;teleo
P2_B6;MB0423A2;OTHER02_06;Other;teleo
P2_B7;MB0423A2;OTHER02_07;Other;teleo
P2_B8;MB0423A2;OTHER02_08;Other;teleo
P2_B9;MB0423A2;OTHER02_09;Other;teleo
P2_B10;MB0423A2;OTHER02_10;Other;teleo
P2_B11;MB0423A2;OTHER02_11;Other;teleo
P2_B12;MB0423A2;OTHER02_12;Other;teleo
P2_C1;MB0423A2;SPY222542_01;Magdalena;teleo
P2_C2;MB0423A2;SPY222542_02;Magdalena;teleo
P2_C3;MB0423A2;SPY222542_03;Magdalena;teleo
P2_C4;MB0423A2;SPY222542_04;Magdalena;teleo
P2_C5;MB0423A2;SPY222542_05;Magdalena;teleo
P2_C6;MB0423A2;SPY222542_06;Magdalena;teleo
P2_C7;MB0423A2;SPY222542_07;Magdalena;teleo
P2_C8;MB0423A2;SPY222542_08;Magdalena;teleo
P2_C9;MB0423A2;SPY222542_09;Magdalena;teleo
P2_C10;MB0423A2;SPY222542_10;Magdalena;teleo
P2_C11;MB0423A2;SPY222542_11;Magdalena;teleo
