"phylum","class","order","family","genus","species","acceptedScientificName","taxonomicStatus","iucnRedListCategory","decimalLatitude","decimalLongitude","issues"
"Chordata","Squamata",NA,"Colubridae","Helicops","Helicops danieli","Helicops danieli Amaral, 1938","ACCEPTED","LC",8.863745,-73.81148,"cdc,cdround"
"Chordata","Aves","Passeriformes","Hirundinidae","Progne","Progne chalybea","Progne chalybea (Gmelin, 1789)","ACCEPTED","LC",9.239462,-74.422768,"cdc,cdround"
"Chordata","Aves","Charadriiformes","Jacanidae","Jacana","Jacana jacana","Jacana jacana hypomelaena (G.R.Gray, 1846)","ACCEPTED",NA,9.292353,-74.457778,"cdc,cdround"
"Chordata","Aves","Anseriformes","Anatidae","Dendrocygna","Dendrocygna autumnalis","Dendrocygna autumnalis (Linnaeus, 1758)","ACCEPTED","LC",9.237195,-74.42041,"cdc,cdround"
"Chordata","Squamata",NA,"Teiidae","Cnemidophorus","Cnemidophorus gaigei","Cnemidophorus gaigei Ruthven, 1915","ACCEPTED","NE",9.238758,-74.50145,"cdc,cdround"
"Chordata","Squamata",NA,"Sphaerodactylidae","Gonatodes","Gonatodes albogularis","Gonatodes albogularis (Duméril & Bibron, 1836)","ACCEPTED","LC",9.240071,-74.422661,"cdc,cdround"
"Chordata","Aves","Passeriformes","Icteridae","Icterus","Icterus nigrogularis","Icterus nigrogularis (Hahn, 1819)","ACCEPTED","LC",9.2399,-74.422212,"cdc,cdround"
"Chordata","Testudines",NA,"Testudinidae","Chelonoidis","Chelonoidis carbonarius","Chelonoidis carbonarius (Spix, 1824)","ACCEPTED","NE",9.237689,-74.321869,"cdc,cdround"
"Chordata","Aves","Passeriformes","Tyrannidae","Fluvicola","Fluvicola pica","Fluvicola pica (Boddaert, 1783)","ACCEPTED","LC",9.247489,-74.494451,"cdc,cdround"
"Chordata","Aves","Pelecaniformes","Threskiornithidae","Platalea","Platalea ajaja","Platalea ajaja Linnaeus, 1758","ACCEPTED","LC",9.249075,-74.492259,"cdc,cdround"
"Chordata","Aves","Piciformes","Bucconidae","Hypnelus","Hypnelus ruficollis","Hypnelus ruficollis (Wagler, 1829)","ACCEPTED","LC",9.245201,-74.497814,"cdc,cdround"
"Chordata","Aves","Falconiformes","Falconidae","Caracara","Caracara plancus","Caracara plancus cheriway (Jacquin, 1784)","ACCEPTED",NA,9.249852,-74.492607,"cdc,cdround"
"Chordata","Crocodylia",NA,"Alligatoridae","Caiman","Caiman crocodilus","Caiman crocodilus fuscus (Cope, 1868)","ACCEPTED",NA,9.003289,-74.107009,"cdc,cdround"
"Chordata","Squamata",NA,"Teiidae","Ameiva","Ameiva praesignis","Ameiva praesignis (Baird & Girard, 1852)","ACCEPTED","LC",8.074743,-73.670087,"cdc,cdround"
"Chordata","Squamata",NA,"Gymnophthalmidae","Tretioscincus","Tretioscincus bifasciatus","Tretioscincus bifasciatus (Duméril, 1851)","ACCEPTED","LC",9.003108,-74.105631,"cdc,cdround"
"Chordata","Aves","Charadriiformes","Burhinidae",NA,NA,"Burhinidae","ACCEPTED","NE",8.073633,-73.670778,"cdc,cdround,txmathi"
"Chordata","Aves","Cuculiformes","Cuculidae","Crotophaga","Crotophaga ani","Crotophaga ani Linnaeus, 1758","ACCEPTED","LC",8.075286,-73.670116,"cdc,cdround"
"Chordata","Squamata",NA,"Boidae","Epicrates","Epicrates maurus","Epicrates maurus Gray, 1849","ACCEPTED","LC",9.84254,-74.582224,"cdc,cdround"
"Chordata","Aves","Passeriformes","Cardinalidae","Piranga","Piranga rubra","Piranga rubra (Linnaeus, 1758)","ACCEPTED","LC",9.243647,-74.764428,"cdc,cdround"
"Chordata",NA,"Characiformes","Serrasalmidae","Colossoma","Colossoma macropomum","Colossoma macropomum (Cuvier, 1816)","ACCEPTED","NT",9.61029,-74.74669,"cdc,cdround"
"Chordata",NA,"Siluriformes","Pimelodidae","Pseudoplatystoma","Pseudoplatystoma magdaleniatum","Pseudoplatystoma magdaleniatum Buitrago-Suárez & Burr, 2007","ACCEPTED","EN",9.758012,-74.62721,"cdc,cdround"
